field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
몰디브호텔,2,AC완속,전라남도 목포시 옥암로46번길 37실외주차장,24시간 이용가능,정,전라남도 목포시 옥암로46번길 37 (옥암동),126.43271619745481,34.8054900323318
스위트모텔,1,AC완속,전라남도 목포시 해양대학로251번길 4-2주차장,24시간 이용가능,정,전라남도 목포시 해양대학로251번길 4-2 (죽교동),126.36968776619342,34.80132485942604
목포상동호반리젠시빌,2,AC완속,"전라남도 목포시 영산로535번길 6 (상동, 호반리젠시빌아파트) 101동~107동",정보없음,정,전라남도 목포시 영산로535번길 6 (상동),126.4183638795034,34.81389443726321
목포시 미루모텔,1,AC완속,전라남도 목포시 평화로83번길 3-1주차장(상동 1144-3),24시간 이용가능,정,전라남도 목포시 평화로83번길 3-1 (상동),126.43310833480972,34.797320292543446
목포시 신안비치팔레스아파트,5,AC완속,"전라남도 목포시 청호로 210지하1층 103동, 106동, 109동, 113동",24시간 이용가능,정,전라남도 목포시 청호로 210 (산정동),126.37121293425284,34.808797975279035
목포시 금호어울림아파트,2,AC완속,"전라남도 목포시 텃골로33번길 53 (석현동, 석현동금호어울림)지하 2층 101동 A04",24시간 이용가능,정,전라남도 목포시 텃골로33번길 53 (석현동),126.4187313096158,34.817403571834355
목포시 스카이모텔,2,AC완속,전라남도 목포시 신흥로59번길 15주차장(상동 870),24시간 이용가능,정,전라남도 목포시 신흥로59번길 15 (상동),126.42596126973595,34.80514565478246
목포시 엠유모텔,2,AC완속,전라남도 목포시 옥암로54번길 41주차장(옥암동 1012-5),24시간 이용가능,정,전라남도 목포시 옥암로54번길 41 (옥암동),126.43268313378789,34.806239971743445
목포시 포미타운주공1단지,5,AC완속,전라남도 목포시 포미로 23108동주차장(973 포미타운주공1단지 108동주차장),24시간 이용가능,유,전라남도 목포시 포미로 46 (용해동),126.3964679413809,34.8197825710839
근화블루빌아파트,2,AC완속,"전라남도 목포시 텃골로13번길 32 (석현동, 근화블루빌아파트) 상가동(816-12 (근화블루빌아파트))",정보없음,정,전라남도 목포시 텃골로13번길 32 (석현동),126.41976681016307,34.82007823937096
목포상동호반리젠시빌,6,AC완속,"전라남도 목포시 영산로535번길 6 (상동, 호반리젠시빌아파트) 101동~107동",정보없음,정,전라남도 목포시 영산로535번길 6 (상동),126.4183638795034,34.81389443726321
목포시 궁무인호텔,1,AC완속,전라남도 목포시 신항로276번길 42주차장(달동 1330-47),24시간 이용가능,정,전라남도 목포시 신항로276번길 42 (달동),126.35718265440015,34.75618909538071
광명샤인빌,3,AC완속,전라남도 목포시 석현로 38P2주차장물탱크옆,09:00~18:00,정,전라남도 목포시 석현로 38 (석현동),126.42505396319054,34.81663993928501
목포시 신안비치팔레스아파트,2,AC완속,"전라남도 목포시 청호로 210지하1층 103동, 106동, 109동, 113동",24시간 이용가능,정,전라남도 목포시 청호로 210 (산정동),126.37121293425284,34.808797975279035
목포시 우미파렌하이트아파트,1,AC완속,전라남도 목포시 남악2로22번길 15주차장입구 C09(1315 우미파렌하이트 주차장입구 C09),24시간 이용가능,정,전라남도 목포시 남악2로22번길 15 (옥암동),126.45469102775654,34.80831832004301
목포시 부영애시앙2차,2,AC완속,전라남도 목포시 당가두로13번길 9P2 입구(1144 부영애시앙 P2 입구),24시간 이용가능,정,전라남도 목포시 당가두로13번길 9 (옥암동),126.43538885305807,34.80933672954289
목포상동호반리젠시빌,7,AC완속,"전라남도 목포시 영산로535번길 6 (상동, 호반리젠시빌아파트) 101동~107동",정보없음,정,전라남도 목포시 영산로535번길 6 (상동),126.4183638795034,34.81389443726321
목포시 엠유모텔,1,AC완속,전라남도 목포시 옥암로54번길 41주차장(옥암동 1012-5),24시간 이용가능,정,전라남도 목포시 옥암로54번길 41 (옥암동),126.43268313378789,34.806239971743445
목포시 하당제일풍경채3차,8,AC완속,전라남도 목포시 하당로289번길 6302동 주차장(916-3 제일3차풍경채아파트 302동 주차장),24시간 이용가능,유,전라남도 목포시 하당로289번길 25 (옥암동),126.42545672577273,34.813729151112575
목포시 부림장,1,AC완속,전라남도 목포시 삼학로18번길 15주차장,24시간(업소고객전용),정,전라남도 목포시 삼학로18번길 15 (호남동),126.38901236481641,34.789695767718875
목포시 금호어울림아파트,3,AC완속,"전라남도 목포시 텃골로33번길 53 (석현동, 석현동금호어울림)지하 2층 101동 A04",24시간 이용가능,정,전라남도 목포시 텃골로33번길 53 (석현동),126.4187313096158,34.817403571834355
목포시 옥암코아루,1,AC완속,전라남도 목포시 당가두로13번길 1246번 주변(1149 코아루아파트 46번 주변),24시간 이용가능,유,전라남도 목포시 당가두로13번길 35 (옥암동),126.43881871457354,34.809776972330084
목포시 포미타운주공1단지,1,AC완속,전라남도 목포시 포미로 23108동주차장(973 포미타운주공1단지 108동주차장),24시간 이용가능,유,전라남도 목포시 포미로 46 (용해동),126.3964679413809,34.8197825710839
목포시 우미파렌하이트아파트,7,AC완속,전라남도 목포시 남악2로22번길 15주차장입구 C09(1315 우미파렌하이트 주차장입구 C09),24시간 이용가능,정,전라남도 목포시 남악2로22번길 15 (옥암동),126.45469102775654,34.80831832004301
목포시 신안비치팔레스아파트,6,AC완속,"전라남도 목포시 청호로 210지하1층 103동, 106동, 109동, 113동",24시간 이용가능,정,전라남도 목포시 청호로 210 (산정동),126.37121293425284,34.808797975279035
목포상동호반리젠시빌,3,AC완속,"전라남도 목포시 영산로535번길 6 (상동, 호반리젠시빌아파트) 101동~107동",정보없음,정,전라남도 목포시 영산로535번길 6 (상동),126.4183638795034,34.81389443726321
옥암푸르지오,1,AC완속,"전라남도 목포시 남악1로 511주차장B1C5기둥,2주차장B1O5기둥",09:00~18:00,유,전라남도 목포시 남악1로 60 (옥암동),126.44527462860982,34.810421927316625
목포시 금호어울림아파트,4,AC완속,"전라남도 목포시 텃골로33번길 53 (석현동, 석현동금호어울림)지하 2층 101동 A04",24시간 이용가능,정,전라남도 목포시 텃골로33번길 53 (석현동),126.4187313096158,34.817403571834355
목포시 부영애시앙2차,3,AC완속,전라남도 목포시 당가두로13번길 9P2 입구(1144 부영애시앙 P2 입구),24시간 이용가능,정,전라남도 목포시 당가두로13번길 9 (옥암동),126.43538885305807,34.80933672954289
목포시 우미파렌하이트아파트,6,AC완속,전라남도 목포시 남악2로22번길 15주차장입구 C09(1315 우미파렌하이트 주차장입구 C09),24시간 이용가능,정,전라남도 목포시 남악2로22번길 15 (옥암동),126.45469102775654,34.80831832004301
목포시 하당제일풍경채3차,4,AC완속,전라남도 목포시 하당로289번길 6302동 주차장(916-3 제일3차풍경채아파트 302동 주차장),24시간 이용가능,유,전라남도 목포시 하당로289번길 25 (옥암동),126.42545672577273,34.813729151112575
목포시 포미타운주공1단지,7,AC완속,전라남도 목포시 포미로 23108동주차장(973 포미타운주공1단지 108동주차장),24시간 이용가능,유,전라남도 목포시 포미로 46 (용해동),126.3964679413809,34.8197825710839
목포시 신안비치팔레스아파트,3,AC완속,"전라남도 목포시 청호로 210지하1층 103동, 106동, 109동, 113동",24시간 이용가능,정,전라남도 목포시 청호로 210 (산정동),126.37121293425284,34.808797975279035
목포시 궁무인호텔,2,AC완속,전라남도 목포시 신항로276번길 42주차장(달동 1330-47),24시간 이용가능,정,전라남도 목포시 신항로276번길 42 (달동),126.35718265440015,34.75618909538071
케이티하당빌딩,3,AC완속,"전라남도 목포시 통일대로119번길 81 (옥암동, 전화국)주차장",비개방,정,전라남도 목포시 통일대로119번길 81 (옥암동),126.4322986800619,34.80836465298039
목포시 부영애시앙2차,4,AC완속,전라남도 목포시 당가두로13번길 9P2 입구(1144 부영애시앙 P2 입구),24시간 이용가능,정,전라남도 목포시 당가두로13번길 9 (옥암동),126.43538885305807,34.80933672954289
